msg,,username,password,email,tjid,qq,yzm,tips01,,,
fail01,用户名空,,,,,,1,登录,,,
fail01,用户名少于6位,123,,,,,2,登录,,6-16之间，由字母/数字/下划线组成6-16个字符,小于6位
fail01,用户名多16位,lee12345678901234,,,,,3,登录,,,大于16位
fail01,用户名为特殊字符,@#￥,,,,,4,登录,,,字母
fail01,用户名正确，密码为空,lee10000,,,,,5,登录,,6-16之间，由字母/数字/下划线组成6-16个字符,小于6位
fail01,用户名正确，密码少6位,lee10000,l3,,,,6,登录,,,大于16位
fail01,用户名正确，特殊字符,lee10000,##￥,,,,7,登录,,,
fail01,同一用户名输入超过9次,lee10000,##￥,,,,8,登录,,,
fail01,同一用户名输入超过9次,lee10000,##￥,,,,9,登录,,,
fail01,同一用户名输入超过9次,lee10000,##￥,,,,10,登录,,,
fail01,同一用户名输入超过9次,lee10000,##￥,,,,11,登录,,,
fail01,同一用户名输入超过9次,lee10000,##￥,,,,12,登录,,,
fail01,同一用户名输入超过9次,lee10000,##￥,,,,13,登录,,,
fail01,同一用户名输入超过9次,lee10000,##￥,,,,14,登录,,,
fail01,同一用户名输入超过9次,lee10000,##￥,,,,15,登录,,,
fail01,不存在的用户名和密码,lee987654321,lee123,,,,8,登录,,,
succ01,用户名密码正常,lee123456789,lee123,,,,9,退出,,,
succ01,用户名密码正常,lee123456777,lee123,,,,10,退出,,,
succ01,用户名密码正常,lee123456763,lee123,,,,11,退出,,,
succ01,用户名密码正常,lee10000,lee123,,,,12,退出,,,
succ01,用户名密码正常,lee1000000,lee123,,,,13,退出,,,
