msg,examples,username,password,email,tjid,qq,yzm,tips01,,,
fail01,用户名空,,,,,,1,立即注册,,,
fail01,用户名少于6位,123,,,,,2,立即注册,,6-16之间，由字母/数字/下划线组成6-16个字符,小于6位
fail01,用户名多16位,lee1234567890123456,,,,,3,立即注册,,,大于16位
fail01,用户名为特殊字符,@#￥,,,,,4,立即注册,,,字母
fail01,用户名正确，密码为空,lee12345789,,,,,5,立即注册,,6-16之间，由字母/数字/下划线组成6-16个字符,小于6位
fail01,用户名正确，密码少6位,lee123456789,l3,,,,6,立即注册,,,大于16位
fail01,用户名正确，特殊字符,lee123456789,##￥,,,,7,立即注册,,,
fail01,已经存在的用户不能注册,lee123456789,lee123,,,,8,立即注册,,,
succ01,用户名密码字母数字6位,lee628,lee123,,,,9,会员中心,,,
succ01,用户名密码下划线数字16位,______1234567890,______1234567890,,,,10,会员中心,,,
succ01,用户名密码字母下划线8位,asdf____,asdf____,,,,11,会员中心,,,
succ01,"用户名纯数字6,密码字母16",147258,qwertyuiopasdfgh,,,,12,会员中心,,,
succ01,"用户名字母6,密码下划线16",asdfghjkl,_________________,,,,13,会员中心,,,
succ01,"用户名数字16,密码下划线6",1.47147E+15,______,,,,14,会员中心,,,
