msg,username,password,email,tjid,qq,yzm,,twosides,money,bet_methods,xiugai,tips,tips01,tips02
succ01,lee123456789,lee123,,,,1,,特双,1,随机1注,0,请登录,请先添加投注内容,下注成功
succ02,lee123456789,lee123,,,,2,,特双,5,随机5注,0,请登录,请先添加投注内容,下注成功
succ03,lee123456789,lee123,,,,3,,特大,10,随机1注,0,请登录,请先添加投注内容,下注成功
succ04,lee123456789,lee123,,,,4,,特大,1,随机1注,0,请登录,请先添加投注内容,下注成功
succ05,lee123456789,lee123,,,,5,,特单,5,随机5注,0,请登录,请先添加投注内容,下注成功
succ06,lee123456789,lee123,,,,6,,特单,10,随机1注,0,请登录,请先添加投注内容,下注成功
succ07,lee123456789,lee123,,,,7,,特合单,,随机1注,0,请登录,请先添加投注内容,下注成功
succ08,lee123456789,lee123,,,,8,,特合单,,随机5注,0,请登录,请先添加投注内容,下注成功
succ09,lee123456789,lee123,,,,9,,特双,,随机1注,0,请登录,请先添加投注内容,下注成功
succ10,lee123456789,lee123,,,,10,,特双,,,0,请登录,请先添加投注内容,下注成功
succ11,lee123456789,lee123,,,,11,,特双,,,0,请登录,请先添加投注内容,下注成功
succ12,lee123456789,lee123,,,,12,,特双,,,0,请登录,请先添加投注内容,下注成功
succ13,lee123456789,lee123,,,,13,,特双,,,0,请登录,请先添加投注内容,下注成功
succ14,lee123456789,lee123,,,,14,,特双,,,0,请登录,请先添加投注内容,下注成功
succ15,lee123456789,lee123,,,,15,,特双,,,0,请登录,请先添加投注内容,下注成功
succ16,lee123456789,lee123,,,,16,,特双,,,0,请登录,请先添加投注内容,下注成功
succ17,lee123456789,lee123,,,,17,,特双,,,0,请登录,请先添加投注内容,下注成功
succ18,lee123456789,lee123,,,,18,,特双,,,0,请登录,请先添加投注内容,下注成功
succ19,lee123456789,lee123,,,,19,,特双,,,0,请登录,请先添加投注内容,下注成功
succ20,lee123456789,lee123,,,,20,,特双,,,0,请登录,请先添加投注内容,下注成功
succ21,lee123456789,lee123,,,,21,,特双,,,0,请登录,请先添加投注内容,下注成功
succ22,lee123456789,lee123,,,,22,,特双,,,0,请登录,请先添加投注内容,下注成功
succ23,lee123456789,lee123,,,,23,,特双,,,0,请登录,请先添加投注内容,下注成功
succ24,lee123456789,lee123,,,,24,,特双,,,0,请登录,请先添加投注内容,下注成功
