msg,username,password,email,tjid,qq,yzm,,pymethod,susuamount,rechargemethod,tips01,depoisttime,depoistname,depoistamount,withdraw,fundpassword,,nowfund,newfund,agentfund,tips,
fail01,lee123456789,lee123,,,,1,,SUSU公司入款,50,中国工商银行_susu,提现金额：,,lee1,,9.99,123456,,,,,旧资金密码不能为空,
fail01,lee123456789,lee123,,,,2,,SUSU公司入款,50,中国工商银行我测试啊,提现金额：,,lee2,,100000.01,123457,余额不足,,123456,123456,旧资金密码不能为空,
fail01,lee123456789,lee123,,,,3,,SUSU公司入款,50,中国工商银行李洁,提现金额：,,lee3,,100000.01,123456,超过额度,12345,,,旧资金密码长度为6位数字,
fail01,lee123456789,lee123,,,,4,,SUSU公司入款,50,中国光大银行,提现金额：,,lee4,,1000,@@@@@@,特殊字符,1234567,,,旧资金密码长度为6位数字,
fail01,lee123456789,lee123,,,,5,,SUSU公司入款,50,兴业银行,提现金额：,,lee5,,1001,lee123,数字密码组合,#,,,旧资金密码长度为6位数字,
fail01,lee123456789,lee123,,,,6,,SUSU公司入款,50,中国银行,提现金额：,,lee6,,1002,111111,错误密码,1234567,1234567,1234567,旧资金密码长度为6位数字,
fail01,lee123456789,lee123,,,,7,,SUSU公司入款,50,江苏银行-123,提现金额：,,lee1,,10000000,123456,超过三次,123456,,,新资金密码不能为空,
fail01,lee123456789,lee123,,,,8,,SUSU公司入款,50,恒丰银行,提现金额：,,lee2,,,,,,12345,,两次密码不一致！,
fail01,lee123456789,lee123,,,,9,,SUSU公司入款,100,中国工商银行_susu,提现金额：,,lee1,,,,,,123456,,两次密码不一致！,
fail01,lee123456789,lee123,,,,10,,SUSU公司入款,100,中国工商银行我测试啊,提现金额：,,lee2,,,,,,1234567,,两次密码不一致！,
fail01,lee123456789,lee123,,,,11,,SUSU公司入款,100,中国工商银行李洁,提现金额：,,lee3,,,,,,@,,两次密码不一致！,密码长度6位以上，由数字、字母、下划线混合组成
fail01,lee123456789,lee123,,,,12,,SUSU公司入款,100,中国光大银行,提现金额：,,lee4,,,,,,,12345,两次密码不一致！,密码长度6位以上，由数字、字母、下划线混合组成
fail01,lee123456789,lee123,,,,13,,SUSU公司入款,100,兴业银行,提现金额：,,lee5,,,,,,,123456,两次密码不一致！,原密码不正确
fail01,lee123456789,lee123,,,,14,,SUSU公司入款,100,中国银行,提现金额：,,lee6,,,,,,,1234567,两次密码不一致！,修改成功
fail01,lee123456789,lee123,,,,15,,SUSU公司入款,100,江苏银行-123,提现金额：,,lee1,,,,,,,@,两次密码不一致！,密码确认不能为空
