msg,examples,username,password,email,tjid,qq,yzm,,pymethod,susuamount,rechargemethod,tips01,depoisttime,depoistname,depoistamount,withdraw,fundpassword,,,oldpassword,newpassword,newpassword1,tips,
fail01,修改1,lee123456763,lee123,,,,1,,SUSU公司入款,50,中国工商银行_susu,提现金额：,,lee1,,9.99,123456,,,,,,旧密码不能为空,密码规则：密码为6位以上，由数字/字母/下划线组成
fail01,修改2,lee123456763,lee123,,,,2,,SUSU公司入款,50,中国工商银行我测试啊,提现金额：,,lee2,,100000.01,123457,余额不足,,,12345,,旧密码不能为空,
fail01,修改3,lee123456763,lee123,,,,3,,SUSU公司入款,50,中国工商银行李洁,提现金额：,,lee3,,100000.01,123456,超过额度,,,1234567,,旧密码不能为空,
fail01,修改4,lee123456763,lee123,,,,4,,SUSU公司入款,50,中国光大银行,提现金额：,,lee4,,1000,@@@@@@,特殊字符,,,lee123456,,旧密码不能为空,
fail01,修改5,lee123456763,lee123,,,,5,,SUSU公司入款,50,兴业银行,提现金额：,,lee5,,1001,lee123,数字密码组合,,,12345,,旧密码不能为空,
fail01,修改6,lee123456763,lee123,,,,6,,SUSU公司入款,50,中国银行,提现金额：,,lee6,,1002,111111,错误密码,,,#_,,旧密码不能为空,
fail01,修改7,lee123456763,lee123,,,,7,,SUSU公司入款,50,江苏银行-123,提现金额：,,lee1,,10000000,123456,超过三次,,,,12345,旧密码不能为空,
fail01,修改8,lee123456763,lee123,,,,8,,SUSU公司入款,50,恒丰银行,提现金额：,,lee2,,,,,,,,1234567,旧密码不能为空,
fail01,修改9,lee123456763,lee123,,,,9,,SUSU公司入款,100,中国工商银行_susu,提现金额：,,lee1,,,,,,,,lee123456,旧密码不能为空,
fail01,修改10,lee123456763,lee123,,,,10,,SUSU公司入款,100,中国工商银行我测试啊,提现金额：,,lee2,,,,,,,,12345,旧密码不能为空,
fail01,修改11,lee123456763,lee123,,,,11,,SUSU公司入款,100,中国工商银行李洁,提现金额：,,lee3,,,,,,,,#_,旧密码不能为空,
fail01,修改12,lee123456763,lee123,,,,12,,SUSU公司入款,100,中国光大银行,提现金额：,,lee4,,,,,,lee123,,,密码不能为空,
fail01,修改13,lee123456763,lee123,,,,13,,SUSU公司入款,100,兴业银行,提现金额：,,lee5,,,,,,lee123,12345,,密码长度6位以上，由数字、字母、下划线混合组成,
fail01,修改14,lee123456763,lee123,,,,14,,SUSU公司入款,100,中国银行,提现金额：,,lee6,,,,,,lee123,1234567,,密码长度6位以上，由数字、字母、下划线混合组成,
fail01,修改15,lee123456763,lee123,,,,15,,SUSU公司入款,100,江苏银行-123,提现金额：,,lee1,,,,,,lee123,lee123456,,密码确认不能为空,
fail01,修改16,lee123456763,lee123,,,,16,,SUSU公司入款,100,恒丰银行,提现金额：,,lee2,,,,,,lee123,12345,,密码长度6位以上，由数字、字母、下划线混合组成,
fail01,修改17,lee123456763,lee123,,,,17,,SUSU公司入款,300,中国工商银行_susu,提现金额：,,lee1,,,,,,lee123,#_,,密码长度6位以上，由数字、字母、下划线混合组成,
fail01,修改18,lee123456763,lee123,,,,18,,SUSU公司入款,300,中国工商银行我测试啊,提现金额：,,lee2,,,,,,lee123,,12345,密码不能为空,
fail01,修改19,lee123456763,lee123,,,,19,,SUSU公司入款,300,中国工商银行李洁,提现金额：,,lee3,,,,,,lee123,,1234567,密码不能为空,
fail01,修改20,lee123456763,lee123,,,,20,,SUSU公司入款,300,中国光大银行,提现金额：,,lee4,,,,,,lee123,,lee123456,密码不能为空,
fail01,修改21,lee123456763,lee123,,,,21,,SUSU公司入款,300,兴业银行,提现金额：,,lee5,,,,,,lee123,,12345,密码不能为空,
fail01,修改22,lee123456763,lee123,,,,22,,SUSU公司入款,300,中国银行,提现金额：,,lee6,,,,,,lee123,,#_,密码不能为空,
fail01,修改23,lee123456763,lee123,,,,23,,SUSU公司入款,300,江苏银行-123,提现金额：,,lee1,,,,,,lee123,12345,12345,密码长度6位以上，由数字、字母、下划线混合组成,
fail01,修改24,lee123456763,lee123,,,,24,,SUSU公司入款,300,恒丰银行,提现金额：,,lee2,,,,,,lee123,1234567,1234567,密码长度6位以上，由数字、字母、下划线混合组成,
fail01,修改25,lee123456763,lee123,,,,25,,SUSU公司入款,500,中国工商银行_susu,提现金额：,,lee3,,,,,,lee123,lee123456,12345,密码长度6位以上，由数字、字母、下划线混合组成,
fail01,修改26,lee123456763,lee123,,,,26,,SUSU公司入款,500,中国工商银行我测试啊,提现金额：,,lee4,,,,,,lee123,12345,#_,密码长度6位以上，由数字、字母、下划线混合组成,
fail01,修改27,lee123456763,lee123,,,,27,,SUSU公司入款,500,中国工商银行李洁,提现金额：,,lee5,,,,,,lee123,#_,,密码长度6位以上，由数字、字母、下划线混合组成,
