msg,examples,username,password,email,tjid,qq,yzm,,pymethod,susuamount,rechargemethod,tips,tips01,depoisttime,depoistname,depoistamount
fail01,测试异常02,lee123456763,lee123,,,,2,,SUSU公司入款,50,中国工商银行我测试啊,充值金额不符合！,充值金额,,lee2,
fail02,测试异常03,lee123456763,lee123,,,,3,,SUSU公司入款,50,中国工商银行李洁,充值金额不符合！,充值金额,,lee3,
fail03,测试异常04,lee123456763,lee123,,,,4,,SUSU公司入款,50,中国光大银行,充值金额不符合！,充值金额,,lee4,
fail04,测试异常05,lee123456763,lee123,,,,5,,SUSU公司入款,50,兴业银行,充值金额不符合！,充值金额,,lee5,
fail05,测试异常06,lee123456763,lee123,,,,6,,SUSU公司入款,50,中国银行,充值金额不符合！,充值金额,,lee6,
fail06,测试异常07,lee123456763,lee123,,,,7,,SUSU公司入款,50,江苏银行-123,充值金额不符合！,充值金额,,lee1,
fail07,测试异常08,lee123456763,lee123,,,,8,,SUSU公司入款,50,恒丰银行,充值金额不符合！,充值金额,,lee2,
fail08,测试异常10,lee123456763,lee123,,,,10,,SUSU公司入款,100,中国工商银行我测试啊,充值金额不符合！,充值金额,,lee2,
fail09,测试异常11,lee123456763,lee123,,,,11,,SUSU公司入款,100,中国工商银行李洁,充值金额不符合！,充值金额,,lee3,
fail10,测试异常12,lee123456763,lee123,,,,12,,SUSU公司入款,100,中国光大银行,充值金额不符合！,充值金额,,lee4,
fail11,测试异常13,lee123456763,lee123,,,,13,,SUSU公司入款,100,兴业银行,充值金额不符合！,充值金额,,lee5,
fail12,测试异常14,lee123456763,lee123,,,,14,,SUSU公司入款,100,中国银行,充值金额不符合！,充值金额,,lee6,
fail13,测试异常15,lee123456763,lee123,,,,15,,SUSU公司入款,100,江苏银行-123,充值金额不符合！,充值金额,,lee1,
fail14,测试异常16,lee123456763,lee123,,,,16,,SUSU公司入款,100,恒丰银行,充值金额不符合！,充值金额,,lee2,
fail15,测试异常18,lee123456763,lee123,,,,18,,SUSU公司入款,300,中国工商银行我测试啊,充值金额不符合！,充值金额,,lee2,
fail01,测试异常19,lee123456763,lee123,,,,19,,SUSU公司入款,300,中国工商银行李洁,充值金额不符合！,充值金额,,lee3,
