msg,examples,username,password,email,tjid,qq,yzm,,pymethod,susuamount,rechargemethod,tips01,depoisttime,depoistname,depoistamount,rechmethod,ordernum,,,all,online,transfer,system,getbag,ormber
fail01,测试01,lee123456763,lee123,,,,1,,SUSU公司入款,50,中国工商银行_susu,充值金额,,lee1,,,,,,,1,2,3,4,22222
fail01,测试02,lee123456763,lee123,,,,2,,SUSU公司入款,50,中国工商银行我测试啊,充值金额,,lee2,,,,,,,1,2,3,4,
fail01,测试03,lee123456763,lee123,,,,3,,SUSU公司入款,50,中国工商银行李洁,充值金额,,lee3,,,,,,,1,2,3,4,
fail01,测试04,lee123456763,lee123,,,,4,,SUSU公司入款,50,中国光大银行,充值金额,,lee4,,,,,,,,,,,
fail01,测试05,lee123456763,lee123,,,,5,,SUSU公司入款,50,兴业银行,充值金额,,lee5,,,,,,,,,,,
fail01,测试06,lee123456763,lee123,,,,6,,SUSU公司入款,50,中国银行,充值金额,,lee6,,,,,,,,,,,
fail01,测试07,lee123456763,lee123,,,,7,,SUSU公司入款,50,江苏银行-123,充值金额,,lee1,,,,,,,,,,,
fail01,测试08,lee123456763,lee123,,,,8,,SUSU公司入款,50,恒丰银行,充值金额,,lee2,,,,,,,,,,,
fail01,测试09,lee123456763,lee123,,,,9,,SUSU公司入款,100,中国工商银行_susu,充值金额,,lee1,,,,,,,,,,,
fail01,测试10,lee123456763,lee123,,,,10,,SUSU公司入款,100,中国工商银行我测试啊,充值金额,,lee2,,,,,,,,,,,
fail01,测试11,lee123456763,lee123,,,,11,,SUSU公司入款,100,中国工商银行李洁,充值金额,,lee3,,,,,,,,,,,
fail01,测试12,lee123456763,lee123,,,,12,,SUSU公司入款,100,中国光大银行,充值金额,,lee4,,,,,,,,,,,
fail01,测试13,lee123456763,lee123,,,,13,,SUSU公司入款,100,兴业银行,充值金额,,lee5,,,,,,,,,,,
fail01,测试14,lee123456763,lee123,,,,14,,SUSU公司入款,100,中国银行,充值金额,,lee6,,,,,,,,,,,
fail01,测试15,lee123456763,lee123,,,,15,,SUSU公司入款,100,江苏银行-123,充值金额,,lee1,,,,,,,,,,,
fail01,测试16,lee123456763,lee123,,,,16,,SUSU公司入款,100,恒丰银行,充值金额,,lee2,,,,,,,,,,,
fail01,测试17,lee123456763,lee123,,,,17,,SUSU公司入款,300,中国工商银行_susu,充值金额,,lee1,,2,N201904073397011354407,,,,,,,,
fail01,测试18,lee123456763,lee123,,,,18,,SUSU公司入款,300,中国工商银行我测试啊,充值金额,,lee2,,2,N201904073370662133409,,,,,,,,
fail01,测试19,lee123456763,lee123,,,,19,,SUSU公司入款,300,中国工商银行李洁,充值金额,,lee3,,2,N201904073083077080248,,,,,,,,
fail01,测试20,lee123456763,lee123,,,,20,,SUSU公司入款,300,中国光大银行,充值金额,,lee4,,2,N201904073077160363894,,,,,,,,
fail01,测试21,lee123456763,lee123,,,,21,,SUSU公司入款,300,兴业银行,充值金额,,lee5,,,,,,,,,,,
fail01,测试22,lee123456763,lee123,,,,22,,SUSU公司入款,300,中国银行,充值金额,,lee6,,,,,,,,,,,
fail01,测试23,lee123456763,lee123,,,,23,,SUSU公司入款,300,江苏银行-123,充值金额,,lee1,,,,,,,,,,,
fail01,测试24,lee123456763,lee123,,,,24,,SUSU公司入款,300,恒丰银行,充值金额,,lee2,,系统充值,,,,,,,,,
fail01,测试25,lee123456763,lee123,,,,25,,SUSU公司入款,500,中国工商银行_susu,充值金额,,lee3,,红包领取,,,,,,,,,
fail01,测试26,lee123456763,lee123,,,,26,,SUSU公司入款,500,中国工商银行我测试啊,充值金额,,lee4,,在线充值,,,,,,,,,
fail01,测试27,lee123456763,lee123,,,,27,,SUSU公司入款,500,中国工商银行李洁,充值金额,,lee5,,全部,,,,,,,,,
fail01,测试28,lee123456763,lee123,,,,28,,SUSU公司入款,500,中国光大银行,充值金额,,lee6,,,,,,,,,,,
fail01,测试29,lee123456763,lee123,,,,29,,SUSU公司入款,500,兴业银行,充值金额,,lee7,,,,,,,,,,,
fail01,测试30,lee123456763,lee123,,,,30,,SUSU公司入款,500,中国银行,充值金额,,,,,,,,,,,,,
fail01,测试31,lee123456763,lee123,,,,31,,SUSU公司入款,500,江苏银行-123,充值金额,,,,,,,,,,,,,
fail01,测试32,lee123456763,lee123,,,,32,,SUSU公司入款,500,恒丰银行,充值金额,,,,,,,,,,,,,
fail01,测试33,lee123456763,lee123,,,,33,,SUSU公司入款,800,中国工商银行_susu,充值金额,,,,,,,,,,,,,
fail01,测试34,lee123456763,lee123,,,,34,,SUSU公司入款,800,中国工商银行我测试啊,充值金额,,,,,,,,,,,,,
fail01,测试35,lee123456763,lee123,,,,35,,SUSU公司入款,800,中国工商银行李洁,充值金额,,,,,,,,,,,,,
fail01,测试36,lee123456763,lee123,,,,36,,SUSU公司入款,800,中国光大银行,充值金额,,,,,,,,,,,,,
fail01,测试37,lee123456763,lee123,,,,37,,SUSU公司入款,800,兴业银行,充值金额,,,,,,,,,,,,,
fail01,测试38,lee123456763,lee123,,,,38,,SUSU公司入款,800,中国银行,充值金额,,,,,,,,,,,,,
fail01,测试39,lee123456763,lee123,,,,39,,SUSU公司入款,800,江苏银行-123,充值金额,,,,,,,,,,,,,
fail01,测试40,lee123456763,lee123,,,,40,,SUSU公司入款,800,恒丰银行,充值金额,,,,,,,,,,,,,
