msg,examples,username,password,email,tjid,qq,yzm,,pymethod,susuamount,rechargemethod,tips01,tips02,tip03,depoisttime,depoistname,depoistamount
fail01,充值50,lee123456763,lee123,,,,1,,SUSU公司入款,50,中国工商银行_susu,充值金额,充值金额不符合！,提交成功！,,lee1,
fail01,充值100,lee123456763,lee123,,,,2,,SUSU公司入款,100,中国工商银行我测试啊,充值金额,充值金额不符合！,提交成功！,,lee2,
fail01,充值300,lee123456763,lee123,,,,3,,SUSU公司入款,300,中国工商银行李洁,充值金额,充值金额不符合！,提交成功！,,lee3,
fail01,充值500,lee123456763,lee123,,,,5,,SUSU公司入款,500,兴业银行,充值金额,充值金额不符合！,提交成功！,,lee5,
fail01,充值800,lee123456763,lee123,,,,6,,SUSU公司入款,800,中国银行,充值金额,充值金额不符合！,提交成功！,,lee6,
fail01,充值1000,lee123456763,lee123,,,,7,,SUSU公司入款,1000,江苏银行-123,充值金额,充值金额不符合！,提交成功！,,lee1,
fail01,充值2000,lee123456763,lee123,,,,8,,SUSU公司入款,2000,恒丰银行,充值金额,充值金额不符合！,提交成功！,,lee2,
fail01,充值3000,lee123456763,lee123,,,,9,,SUSU公司入款,3000,中国工商银行_susu,充值金额,充值金额不符合！,提交成功！,,lee1,
succ01,充值50,lee123456763,lee123,,,,1,,SUSU公司入款,50,中国工商银行_susu,充值金额,充值金额不符合！,提交成功！,,lee1,
succ01,充值100,lee123456763,lee123,,,,2,,SUSU公司入款,50,中国工商银行我测试啊,充值金额,充值金额不符合！,提交成功！,,lee2,
succ01,充值300,lee123456763,lee123,,,,3,,SUSU公司入款,50,中国工商银行李洁,充值金额,充值金额不符合！,提交成功！,,lee3,
succ01,充值500,lee123456763,lee123,,,,5,,SUSU公司入款,50,兴业银行,充值金额,充值金额不符合！,提交成功！,,lee5,
succ01,充值800,lee123456763,lee123,,,,6,,SUSU公司入款,50,中国银行,充值金额,充值金额不符合！,提交成功！,,lee6,
succ01,充值1000,lee123456763,lee123,,,,7,,SUSU公司入款,50,江苏银行-123,充值金额,充值金额不符合！,提交成功！,,lee1,
succ01,充值2000,lee123456763,lee123,,,,8,,SUSU公司入款,50,恒丰银行,充值金额,充值金额不符合！,提交成功！,,lee2,
succ01,充值3000,lee123456763,lee123,,,,9,,SUSU公司入款,50,中国工商银行_susu,充值金额,充值金额不符合！,提交成功！,,lee1,
succ01,,,,,,,,,,50,,,,提交成功！,,lee2,
succ01,,,,,,,,,,50,,,,提交成功！,,lee3,
succ01,,,,,,,,,,50,,,,提交成功！,,lee4,
succ01,,,,,,,,,,50,,,,提交成功！,,lee5,
succ01,,,,,,,,,,50,,,,提交成功！,,lee6,
succ02,充值100,lee123456763,lee123,,,,2,,SUSU公司入款,100,中国工商银行我测试啊,充值金额,充值金额不符合！,提交成功！,,lee2,
succ03,充值300,lee123456763,lee123,,,,3,,SUSU公司入款,300,中国工商银行李洁,充值金额,充值金额不符合！,提交成功！,,lee3,
succ04,充值500,lee123456763,lee123,,,,5,,SUSU公司入款,500,兴业银行,充值金额,充值金额不符合！,提交成功！,,lee5,
succ05,充值800,lee123456763,lee123,,,,6,,SUSU公司入款,800,中国银行,充值金额,充值金额不符合！,提交成功！,,lee6,
succ06,充值1000,lee123456763,lee123,,,,7,,SUSU公司入款,1000,江苏银行-123,充值金额,充值金额不符合！,提交成功！,,lee1,
succ07,充值2000,lee123456763,lee123,,,,8,,SUSU公司入款,2000,恒丰银行,充值金额,充值金额不符合！,提交成功！,,lee2,
succ08,充值3000,lee123456763,lee123,,,,9,,SUSU公司入款,3000,中国工商银行_susu,充值金额,充值金额不符合！,提交成功！,,lee1,
