msg,username,password,email,tjid,qq,yzm,,pymethod,susuamount0,susuamount,rechargemethod,tips01,depoisttime,depoistname,depoistamount
fail011,lee123456763,lee123,,,,1,,SUSU公司入款,充值金额,,中国工商银行_susu,充值金额不符合！,,lee1,
fail011,lee123456763,lee123,,,,2,,SUSU公司入款,充值金额,,中国工商银行我测试啊,充值金额不符合！,,lee2,
fail011,lee123456763,lee123,,,,3,,SUSU公司入款,充值金额,,中国工商银行李洁,充值金额不符合！,,lee3,
fail011,lee123456763,lee123,,,,4,,SUSU公司入款,充值金额,,中国光大银行,充值金额不符合！,,lee4,
fail011,lee123456763,lee123,,,,5,,SUSU公司入款,充值金额,,兴业银行,充值金额不符合！,,lee5,
fail011,lee123456763,lee123,,,,6,,SUSU公司入款,充值金额,,中国银行,充值金额不符合！,,lee6,
fail011,lee123456763,lee123,,,,7,,SUSU公司入款,充值金额,,江苏银行-123,充值金额不符合！,,lee1,
fail011,lee123456763,lee123,,,,8,,SUSU公司入款,充值金额,,恒丰银行,充值金额不符合！,,lee2,
fail011,lee123456763,lee123,,,,1,,SUSU公司入款,充值金额,19.99,中国工商银行_susu,充值金额不符合！,,lee1,
fail011,lee123456763,lee123,,,,2,,SUSU公司入款,充值金额,19.99,中国工商银行我测试啊,充值金额不符合！,,lee2,
fail011,lee123456763,lee123,,,,3,,SUSU公司入款,充值金额,19.99,中国工商银行李洁,充值金额不符合！,,lee3,
fail011,lee123456763,lee123,,,,4,,SUSU公司入款,充值金额,19.99,中国光大银行,充值金额不符合！,,lee4,
fail011,lee123456763,lee123,,,,5,,SUSU公司入款,充值金额,19.99,兴业银行,充值金额不符合！,,lee5,
fail011,lee123456763,lee123,,,,6,,SUSU公司入款,充值金额,19.99,中国银行,充值金额不符合！,,lee6,
fail011,lee123456763,lee123,,,,7,,SUSU公司入款,充值金额,19.99,江苏银行-123,充值金额不符合！,,lee1,
fail011,lee123456763,lee123,,,,8,,SUSU公司入款,充值金额,19.99,恒丰银行,充值金额不符合！,,lee2,
fail011,lee123456763,lee123,,,,1,,SUSU公司入款,充值金额,50,中国工商银行_susu,充值金额不符合！,,lee1,
fail011,lee123456763,lee123,,,,2,,SUSU公司入款,充值金额,50,中国工商银行我测试啊,充值金额不符合！,,lee2,
fail011,lee123456763,lee123,,,,3,,SUSU公司入款,充值金额,50,中国工商银行李洁,充值金额不符合！,,lee3,
fail011,lee123456763,lee123,,,,4,,SUSU公司入款,充值金额,50,中国光大银行,充值金额不符合！,,lee4,
fail011,lee123456763,lee123,,,,5,,SUSU公司入款,充值金额,50,兴业银行,充值金额不符合！,,lee5,
fail011,lee123456763,lee123,,,,6,,SUSU公司入款,充值金额,50,中国银行,充值金额不符合！,,lee6,
fail011,lee123456763,lee123,,,,7,,SUSU公司入款,充值金额,50,江苏银行-123,充值金额不符合！,,lee1,
fail011,lee123456763,lee123,,,,8,,SUSU公司入款,充值金额,50,恒丰银行,充值金额不符合！,,lee2,
fail011,lee123456763,lee123,,,,9,,SUSU公司入款,充值金额,100,中国工商银行_susu,充值金额不符合！,,lee1,
fail011,lee123456763,lee123,,,,10,,SUSU公司入款,充值金额,100,中国工商银行我测试啊,充值金额不符合！,,lee2,
fail011,lee123456763,lee123,,,,11,,SUSU公司入款,充值金额,100,中国工商银行李洁,充值金额不符合！,,lee3,
fail011,lee123456763,lee123,,,,12,,SUSU公司入款,充值金额,100,中国光大银行,充值金额不符合！,,lee4,
fail011,lee123456763,lee123,,,,13,,SUSU公司入款,充值金额,100,兴业银行,充值金额不符合！,,lee5,
fail011,lee123456763,lee123,,,,14,,SUSU公司入款,充值金额,100,中国银行,充值金额不符合！,,lee6,
fail011,lee123456763,lee123,,,,15,,SUSU公司入款,充值金额,100,江苏银行-123,充值金额不符合！,,lee1,
fail011,lee123456763,lee123,,,,16,,SUSU公司入款,充值金额,100,恒丰银行,充值金额不符合！,,lee2,
fail01,lee123456763,lee123,,,,17,,SUSU公司入款,,300,中国工商银行_susu,充值金额不符合！,,lee1,
fail01,lee123456763,lee123,,,,18,,SUSU公司入款,,300,中国工商银行我测试啊,充值金额不符合！,,lee2,
fail01,lee123456763,lee123,,,,19,,SUSU公司入款,,300,中国工商银行李洁,充值金额不符合！,,lee3,
fail01,lee123456763,lee123,,,,20,,SUSU公司入款,,300,中国光大银行,充值金额不符合！,,lee4,
fail01,lee123456763,lee123,,,,21,,SUSU公司入款,,300,兴业银行,充值金额不符合！,,lee5,
fail01,lee123456763,lee123,,,,22,,SUSU公司入款,,300,中国银行,充值金额不符合！,,lee6,
fail01,lee123456763,lee123,,,,23,,SUSU公司入款,,300,江苏银行-123,充值金额不符合！,,lee1,
fail01,lee123456763,lee123,,,,24,,SUSU公司入款,,300,恒丰银行,充值金额不符合！,,lee2,
fail01,lee123456763,lee123,,,,25,,SUSU公司入款,,500,中国工商银行_susu,充值金额不符合！,,lee3,
fail01,lee123456763,lee123,,,,26,,SUSU公司入款,,500,中国工商银行我测试啊,充值金额不符合！,,lee4,
fail01,lee123456763,lee123,,,,27,,SUSU公司入款,,500,中国工商银行李洁,充值金额不符合！,,lee5,
fail01,lee123456763,lee123,,,,28,,SUSU公司入款,,500,中国光大银行,充值金额不符合！,,lee6,
fail01,lee123456763,lee123,,,,29,,SUSU公司入款,,500,兴业银行,充值金额不符合！,,lee7,
fail01,lee123456763,lee123,,,,30,,SUSU公司入款,,500,中国银行,充值金额不符合！,,,
fail01,lee123456763,lee123,,,,31,,SUSU公司入款,,500,江苏银行-123,充值金额不符合！,,,
fail01,lee123456763,lee123,,,,32,,SUSU公司入款,,500,恒丰银行,充值金额不符合！,,,
fail01,lee123456763,lee123,,,,33,,SUSU公司入款,,800,中国工商银行_susu,充值金额不符合！,,,
fail01,lee123456763,lee123,,,,34,,SUSU公司入款,,800,中国工商银行我测试啊,充值金额不符合！,,,
fail01,lee123456763,lee123,,,,35,,SUSU公司入款,,800,中国工商银行李洁,充值金额不符合！,,,
fail01,lee123456763,lee123,,,,36,,SUSU公司入款,,800,中国光大银行,充值金额不符合！,,,
fail01,lee123456763,lee123,,,,37,,SUSU公司入款,,800,兴业银行,充值金额不符合！,,,
fail01,lee123456763,lee123,,,,38,,SUSU公司入款,,800,中国银行,充值金额不符合！,,,
fail01,lee123456763,lee123,,,,39,,SUSU公司入款,,800,江苏银行-123,充值金额不符合！,,,
fail01,lee123456763,lee123,,,,40,,SUSU公司入款,,800,恒丰银行,充值金额不符合！,,,
fail01,lee123456763,lee123,,,,41,,SUSU公司入款,,1000,中国工商银行_susu,充值金额不符合！,,,
