msg,msg1,username,password,email,tjid,qq,yzm,,pymethod,susuamount,rechargemethod,tips01,depoisttime,depoistname,depoistamount
fail01,1,lee123456763,lee123,,,,1,,SUSU公司入款,300,中国工商银行_susu,充值金额,,lee1,
fail01,1,lee123456763,lee123,,,,1,,SUSU公司入款,300,中国工商银行_susu,充值金额,,lee1,
fail01,1,lee123456763,lee123,,,,1,,SUSU公司入款,300,中国工商银行_susu,充值金额,,lee1,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
fail01,2,lee123456763,lee123,,,,2,,SUSU公司入款,300,中国工商银行我测试啊,充值金额,,lee2,
